STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
SAE;phsstay0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
SBE;phsstay0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
CHM;phsstay0;12;01.01.1959 00:00;01.01.2011 00:00;MeteoSchweiz
CDF;ths2dyyn;12;01.01.1959 00:00;01.01.2011 00:00;MeteoSchweiz
GRH;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
CHD;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
JUN;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
NEU;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
SAM;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
CHM;ths2dyyn;12;01.01.1964 00:00;01.01.2012 00:00;MeteoSchweiz
GRC;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
GSB;ths2dyyn;12;01.01.1960 00:00;01.01.2011 00:00;MeteoSchweiz
ALT;ths2dyyn;12;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
STG;ths2dyyn;12;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
STG;ths2dyyn;12;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
CDF;ths2dyyx;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
LUG;ths2dyyx;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
OTL;ths2dyyx;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
BER;ths2dyyx;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SAM;shs000y0;12;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
ENG;shs000y0;12;01.01.1970 00:00;01.01.2012 00:00;MeteoSchweiz
SIO;shs000y0;12;01.01.1959 00:00;01.01.2011 00:00;MeteoSchweiz
JUN;fhs010y0;12;01.01.2008 00:00;01.01.2012 00:00;MeteoSchweiz
SAM;fhs010y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
LUZ;fhs010y0;12;01.01.2010 00:00;01.01.2012 00:00;MeteoSchweiz
GSB;fhs010y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
SMA;pva2hsy0;12;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
PAY;pva2hsy0;12;01.01.2010 00:00;01.01.2012 00:00;MeteoSchweiz
LUZ;pva2hsy0;12;01.01.2010 00:00;01.01.2012 00:00;MeteoSchweiz
GRC;pva2hsy0;12;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
NEU;ths200d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
DAV;ths200d0;1;01.01.1901 00:00;31.12.2004 00:00;MeteoSchweiz
SBE;ths200d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
LUG;ths200d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
LUG;ths200d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
GRC;ths200d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
ENG;ths200d0;1;01.01.1931 00:00;31.12.2004 00:00;MeteoSchweiz
ENG;ths200d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
BAS;ths200d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
SIA;ths200d0;1;01.08.2010 00:00;30.04.2012 00:00;MeteoSchweiz
MER;ths200m0;1;01.01.1890 00:00;01.12.2004 00:00;MeteoSchweiz
CHD;ths200m0;1;01.01.1901 00:00;01.12.2004 00:00;MeteoSchweiz
CHD;ths200m0;1;01.07.2005 00:00;01.09.2007 00:00;MeteoSchweiz
CHM;ths200m0;1;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
ENG;ths200m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
SIO;ths200m0;1;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
BAS;ths200m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
MER;rhs150m0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
MER;rhs150m0;12;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
CDF;rhs150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
CHD;rhs150m0;1;01.07.1896 00:00;01.12.2004 00:00;MeteoSchweiz
NEU;rhs150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
DAV;rhs150m0;1;01.01.1876 00:00;01.12.2004 00:00;MeteoSchweiz
LUZ;rhs150m0;12;01.01.1959 00:00;01.12.2004 00:00;MeteoSchweiz
LUG;rhs150m0;1;01.01.1864 00:00;01.12.2004 00:00;MeteoSchweiz
LUG;rhs150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
OTL;rhs150m0;12;01.11.2007 00:00;01.12.2010 00:00;MeteoSchweiz
GRC;rhs150m0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
GSB;rhs150m0;12;01.11.2007 00:00;01.12.2010 00:00;MeteoSchweiz
STG;rhs150m0;12;01.01.1959 00:00;01.12.2004 00:00;MeteoSchweiz
STG;rhs150m0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
STG;rhs150m0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
BAS;rhs150m0;1;01.01.1864 00:00;01.12.2004 00:00;MeteoSchweiz
BAS;rhs150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
BAS;rhs150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
GRC;ths00nm0;12;01.04.2023 00:00;01.04.2023 00:00;MeteoSchweiz
GVE;ths25xm0;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
SAM;ths25xm0;1;01.04.2023 00:00;01.04.2023 00:00;MeteoSchweiz
SAM;ths25xm0;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
SAE;ths25xm0;1;01.08.2023 00:00;01.08.2024 00:00;MeteoSchweiz
LUZ;ths25xm0;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
OTL;ths25xm0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
GSB;ths25xm0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
BER;ths25xm0;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
